sweep,seed,n_local,beta_over_mu,lambda_reg,kappa_g,algorithm,mix_rounds,grad_evals_per_node,reached,avg_sq,gap
beta_over_mu,0,100.0,1098.0,,,EXTRA,45369,45369,True,0.0001,4.94e-05
beta_over_mu,0,100.0,1098.0,,,GradientTracking,50000,25001,False,0.11,0.0543
beta_over_mu,0,100.0,1098.0,,,MUDAG,44851,8971,True,0.0001,4.94e-05
beta_over_mu,0,100.0,1098.0,,,ACC-SONATA-L,7700,2201,True,0.0001,4.94e-05
beta_over_mu,0,100.0,1098.0,,,ACC-SONATA-F,8224,2314,True,9.83e-05,4.89e-05
beta_over_mu,1,100.0,1237.0,,,EXTRA,50000,50000,False,0.00102,0.000483
beta_over_mu,1,100.0,1237.0,,,GradientTracking,50000,25001,False,1.22,0.574
beta_over_mu,1,100.0,1237.0,,,MUDAG,50000,10000,False,0.000368,0.000174
beta_over_mu,1,100.0,1237.0,,,ACC-SONATA-L,9576,2737,True,9.75e-05,4.6e-05
beta_over_mu,1,100.0,1237.0,,,ACC-SONATA-F,10496,2953,True,9.78e-05,4.61e-05
beta_over_mu,2,100.0,1103.0,,,EXTRA,28836,28836,True,0.0001,5.13e-05
beta_over_mu,2,100.0,1103.0,,,GradientTracking,50000,25001,False,0.00322,0.00165
beta_over_mu,2,100.0,1103.0,,,MUDAG,22573,5644,True,9.99e-05,5.13e-05
beta_over_mu,2,100.0,1103.0,,,ACC-SONATA-L,5096,1457,True,9.64e-05,4.95e-05
beta_over_mu,2,100.0,1103.0,,,ACC-SONATA-F,5600,1576,True,9.64e-05,5.41e-05
beta_over_mu,0,200.0,715.5,,,EXTRA,37960,37960,True,0.0001,4.89e-05
beta_over_mu,0,200.0,715.5,,,GradientTracking,50000,25001,False,0.0631,0.0309
beta_over_mu,0,200.0,715.5,,,MUDAG,44376,8876,True,9.99e-05,4.89e-05
beta_over_mu,0,200.0,715.5,,,ACC-SONATA-L,7616,2177,True,9.98e-05,4.88e-05
beta_over_mu,0,200.0,715.5,,,ACC-SONATA-F,6160,1761,True,0.0001,4.89e-05
beta_over_mu,1,200.0,944.3,,,EXTRA,50000,50000,False,0.000224,0.000107
beta_over_mu,1,200.0,944.3,,,GradientTracking,50000,25001,False,0.854,0.406
beta_over_mu,1,200.0,944.3,,,MUDAG,50000,10000,False,0.000334,0.000159
beta_over_mu,1,200.0,944.3,,,ACC-SONATA-L,9464,2705,True,9.73e-05,4.63e-05
beta_over_mu,1,200.0,944.3,,,ACC-SONATA-F,8792,2513,True,9.83e-05,4.68e-05
beta_over_mu,2,200.0,779.4,,,EXTRA,25765,25765,True,0.0001,5.11e-05
beta_over_mu,2,200.0,779.4,,,GradientTracking,50000,25001,False,0.00249,0.00127
beta_over_mu,2,200.0,779.4,,,MUDAG,22865,5717,True,9.99e-05,5.11e-05
beta_over_mu,2,200.0,779.4,,,ACC-SONATA-L,5124,1465,True,9.93e-05,5.08e-05
beta_over_mu,2,200.0,779.4,,,ACC-SONATA-F,4424,1265,True,9.92e-05,5.08e-05
beta_over_mu,0,400.0,502.0,,,EXTRA,32557,32557,True,0.0001,4.92e-05
beta_over_mu,0,400.0,502.0,,,GradientTracking,50000,25001,False,0.0384,0.0189
beta_over_mu,0,400.0,502.0,,,MUDAG,44326,8866,True,9.99e-05,4.92e-05
beta_over_mu,0,400.0,502.0,,,ACC-SONATA-L,7616,2177,True,9.71e-05,4.78e-05
beta_over_mu,0,400.0,502.0,,,ACC-SONATA-F,5040,1441,True,9.53e-05,4.69e-05
beta_over_mu,1,400.0,568.7,,,EXTRA,43150,43150,True,0.0001,4.9e-05
beta_over_mu,1,400.0,568.7,,,GradientTracking,50000,25001,False,0.442,0.216
beta_over_mu,1,400.0,568.7,,,MUDAG,43937,10985,True,0.0001,4.9e-05
beta_over_mu,1,400.0,568.7,,,ACC-SONATA-L,9296,2657,True,9.88e-05,4.84e-05
beta_over_mu,1,400.0,568.7,,,ACC-SONATA-F,6496,1857,True,9.81e-05,4.81e-05
beta_over_mu,2,400.0,526.6,,,EXTRA,20536,20536,True,0.0001,5.15e-05
beta_over_mu,2,400.0,526.6,,,GradientTracking,50000,25001,False,0.00109,0.000561
beta_over_mu,2,400.0,526.6,,,MUDAG,22229,5558,True,0.0001,5.15e-05
beta_over_mu,2,400.0,526.6,,,ACC-SONATA-L,5012,1433,True,9.67e-05,4.98e-05
beta_over_mu,2,400.0,526.6,,,ACC-SONATA-F,3472,993,True,9.61e-05,5e-05
beta_over_mu,0,800.0,321.6,,,EXTRA,29818,29818,True,0.0001,4.9e-05
beta_over_mu,0,800.0,321.6,,,GradientTracking,50000,25001,False,0.0269,0.0132
beta_over_mu,0,800.0,321.6,,,MUDAG,44486,8898,True,0.0001,4.9e-05
beta_over_mu,0,800.0,321.6,,,ACC-SONATA-L,7644,2185,True,9.84e-05,4.82e-05
